REPORTNUMBER,LATITUDE,LONGITUDE
9860-2016-2471,34.065185,-117.303965
9580-2015-5083,34.173358,-118.541313
9670-2016-2793,33.856918,-118.029227
9840-2016-0256,34.008507,-117.423176
9855-2016-2945,34.077414,-117.622963
9260-2016-0208,38.577733,-121.309535
9685-2015-0577,33.461455,-116.859305
9350-2016-0173,37.792389,-122.469584
9530-2016-0123,33.927474,-118.260881
9575-2016-2542,34.14887,-118.043339
9340-2016-5319,37.349455,-121.861301
9350-2016-0168,37.843129,-122.485729
9855-2016-2948,34.087294,-117.668464
9650-2016-2318,33.129223,-117.09769
9320-2016-1986,37.845865,-122.025655
9650-2016-2321,33.131679,-117.120469
9246-2016-0029,38.81777,-120.078413
9370-2016-0241,37.806054,-122.236557
9320-2016-1970,38.01474,-122.268112
9230-2016-0075,39.284585,-120.966137
9565-2016-5528,34.046647,-118.446391
9645-2016-0362,32.980725,-117.085223
9550-2016-3164,33.997152,-117.932203
9625-2016-0051,33.04454,-115.527321
9685-2016-0588,33.487373,-117.143134
9580-2016-0030,34.183413,-118.398962
9461-2016-0073,36.918368,-120.828093
9460-2016-0119,37.313367,-120.519267
9580-2016-0050,34.26613100000005,-118.44600199999996
9685-2016-0581,33.674984,-117.170884
9420-2016-2338,35.445095,-119.091536
9770-2016-0164,34.282279,-118.748814
9680-2016-1037,32.773042,-117.038223
9550-2016-3175,33.998645,-117.937472
9420-2016-2287,35.327762,-119.038847
9565-2016-5488,34.029913,-118.406133
9840-2016-2239,33.778935,-117.488589
9650-2016-2296,33.147209,-117.104448
9840-2016-2235,33.897174,-117.559331
9550-2016-3063,33.998645,-117.937472
9575-2016-2580,34.247629,-118.425507
9252-2016-0383,38.551441,-121.431527
9420-2016-2289,35.322765,-119.037556
9840-2016-2229,33.880351,-117.568417
9435-2016-2292,36.722028,-119.789293
9151-2016-0026,38.763802,-122.597673
9760-2016-0116,34.442297,-119.789685
9345-2016-0165,37.713744,-122.171137
9855-2016-2479,34.077663,-117.623399
9765-2016-0153,34.263761,-119.009055
9840-2016-0115,33.939258,-117.185725
9860-2016-2493,34.35749617948723,-117.43742694871791
9840-2016-0371,33.878691,-117.657504
9265-2016-3524,38.05014,-121.25899
9435-2016-2308,36.792778,-119.864134
9480-2016-0147,36.323236,-119.404269
9840-2016-0107,33.983973,-117.365995
9675-2016-1187,33.847542,-117.870847
9860-2016-2500,34.259161,-117.450091
9525-2016-2472,34.011119,-117.822356
9435-2016-2317,36.736174,-119.63092
9550-2016-3117,34.029117,-118.007944
9390-2016-0124,37.74836,-121.957964
9565-2016-5548,33.963405,-118.369855
9330-2016-5173,37.559152,-122.301444
9840-2016-0128,33.88039,-117.61062
9252-2016-0357,38.5479,-121.473907
9222-2016-0333,39.238838,-120.208898
9370-2016-0265,37.884815,-122.308799
9320-2016-1984,37.891009,-122.172657
9840-2016-0236,33.875409,-117.661547
9760-2016-0142,34.423059,-119.657024
9170-2016-0017,41.489198,-120.671174
9760-2016-0090,34.427759,-119.732274
9840-2016-0237,33.88225,-117.586016
9840-2016-0376,33.879842,-117.554144
9840-2016-0250,33.88225,-117.586016
9860-2016-2459,34.246593,-117.437126
9345-2016-0232,37.600408,-122.062145
9855-2016-2876,34.136366,-117.436507
9840-2016-0253,33.961697,-117.54886
9345-2016-0248,37.691044,-122.138437
9840-2016-0260,33.880853,-117.614051
9266-2016-0075,37.76562,-121.347653
9630-2016-0087,33.432524,-116.066389
9320-2016-1974,38.018954,-121.936184
9250-2016-5428,38.617766,-121.419896
9252-2016-0412,38.458088,-121.411142
9550-2016-3150,33.876405,-118.092058
9855-2016-2439,34.134656,-117.662286
9465-2016-0222,37.667238,-121.033667
9330-2016-5156,37.464748,-122.148205
9565-2016-5530,34.06089,-118.456271
9345-2016-2237,37.621232,-122.077004
9860-2016-2460,34.139954,-117.32458
9250-2016-5476,38.639767,-121.421552
9860-2016-2418,34.02967,-117.329709
9690-2016-0181,33.615648,-117.708685
9650-2016-2270,33.125272,-117.323942
9465-2016-0260,37.633358,-120.999875
9420-2016-2292,35.269879,-118.680952
9530-2016-2418,33.81462,-118.182891
9140-2016-0037,40.102396,-120.19704
9435-2016-2395,36.73499,-119.980296
9760-2016-0117,34.418039,-119.689992
9840-2016-0093,33.875623,-117.661301
9685-2016-0278,33.640293,-117.084949
9565-2016-5544,33.898608,-118.370232
9650-2016-2298,33.165084,-117.107211
9420-2016-2303,35.208856,-119.106884
9435-2016-2295,36.834358,-119.920147
9245-2016-0931,38.897362,-120.989119
9840-2016-0096,33.953553,-117.304272
9720-2016-0183,37.117169,-121.975502
9855-2016-2478,34.066121,-117.489166
9730-2016-3322,36.102736,-121.621093
9250-2016-5433,38.634515,-121.390699
9840-2016-0100,33.826097,-117.524471
9855-2016-2526,34.03005,-117.711309
9535-2015-1953,34.068661,-118.041352
9525-2016-2468,34.024227,-117.809978
9435-2016-2283,36.782741,-119.849591
9765-2016-0143,34.249717,-119.205889
9745-2016-0115,35.163253,-120.68558
9730-2015-0758,36.75883,-121.748683
9252-2016-0392,38.574601,-121.466664
9525-2016-2604,34.023422,-117.74726
9840-2016-0127,33.882136,-117.591381
9590-2016-0040,32.776139,-117.00325
9745-2016-0116,35.150224,-120.652438
9345-2016-2251,37.649348,-122.097058
9720-2016-0235,37.085805,-122.089608
9675-2016-1227,33.709764,-117.781996
9252-2016-0376,38.477712,-121.426473
9285-2015-0507,39.040042,-121.634754
9340-2016-5320,37.255491,-121.861082
9860-2016-2462,34.108835,-117.302625
9650-2016-2198,33.319313,-117.482488
9645-2016-1056,32.764241,-117.127831
9325-2016-0105,38.254708,-122.338898
9265-2016-3499,38.004341,-121.351223
9340-2016-2366,37.391,-121.995352
9390-2016-0083,37.718695,-121.662834
9580-2015-5089,34.239348,-118.473014
9685-2016-0127,33.52875,-117.167129
9420-2016-2345,35.389528,-119.022959
9550-2016-3137,33.881908,-118.024861
9360-2016-0159,38.481837,-123.005683
9370-2016-0213,37.84364,-122.297697
9645-2016-1127,32.812983,-117.156785
9265-2015-3000,37.873766,-121.219521
9860-2016-2534,34.064927,-117.313456
9390-2016-0170,37.698303,-121.936937
9265-2016-3593,37.915689,-121.290505
9630-2016-0092,33.748956,-116.267657
9370-2016-0177,37.956261,-122.330045
9575-2016-2535,34.17812,-118.164718
9320-2016-2004,38.019223,-121.898251
9590-2015-1920,33.946558,-118.279589
9250-2016-5485,38.60132293163518,-121.4371916493243
9130-2016-0473,40.295253,-122.279158
9655-2016-0109,33.656013,-117.084519
9465-2016-0279,37.539803,-120.894894
9265-2016-3600,37.789727,-121.297251
9580-2016-5136,34.139236,-118.364907
9266-2016-0091,37.673989,-121.460086
9540-2016-0284,34.308181,-118.484279
9540-2016-0298,34.394447,-118.468993
9540-2016-0295,34.283589,-118.468581
9650-2016-2260,33.187651,-117.236805
9835-2016-0079,35.114034,-116.242611
9720-2016-0217,36.945518,-121.845668
9690-2016-0157,33.442705,-117.628233
9266-2016-0085,37.753417,-121.464831
9680-2016-1018,32.719802,-116.880093
9345-2016-0151,37.664508,-122.10648
9550-2016-3055,33.946088,-118.09988
9650-2016-2313,33.257722,-117.237493
9430-2016-0048,34.836547,-118.863162
9130-2016-0466,40.2165,-122.25025
9855-2016-2916,34.029947,-117.712178
9690-2016-0160,33.585855,-117.728724
9435-2016-2377,36.806424,-119.785266
9535-2016-0343,34.037697,-118.040135
9425-2016-0062,37.958075,-120.418705
9550-2016-3118,33.996902,-117.930673
9680-2016-1023,32.745281,-116.95741
