REPORTNUMBER,LATITUDE,LONGITUDE
9840-2016-7333,34.018995,-117.479304
9860-2016-7184,34.068328,-117.339168
9770-2016-0551,34.176095,-118.859421
9720-2016-1115,36.904444,-121.637576
9730-2016-4180,36.754937,-121.743729
9645-2016-2821,32.891574,-117.207828
9760-2016-6385,34.382864,-119.483429
9535-2016-6346,33.990793,-118.140621
9525-2016-7453,34.070489,-117.958996
9360-2016-1045,38.39164,-122.716137
9645-2016-3051,32.610776,-117.036665
9735-2016-0130,36.393016,-121.309333
9770-2016-0563,34.167215,-118.83956
9360-2016-1047,38.335397,-123.045995
9330-2016-6101,37.442754,-122.252822
9360-2016-0886,38.445215,-122.60497
9150-2016-0313,38.910322,-123.053628
9865-2016-2796,34.224182,-117.027219
9675-2016-7427,33.87362090909097,-117.69458454545449
9390-2016-6673,37.511439,-121.937878
9530-2016-7469,33.86481,-118.327226
9330-2016-6182,37.590773,-122.362336
9525-2016-7459,34.072396,-117.934231
9535-2016-7333,34.040724,-118.075672
9340-2016-7419,37.316847,-121.946817
9530-2016-7634,33.82525,-118.217463
9360-2016-1043,38.509558,-122.773437
9540-2016-3139,34.418102,-118.439029
9530-2016-7649,33.883999,-118.351654
9340-2016-7406,37.331958,-121.939485
9222-2016-0488,39.236908,-120.024859
9545-2016-0761,34.493344,-118.188213
9685-2016-1328,33.531407,-117.168906
9435-2016-3878,36.645266,-119.704831
9645-2016-3047,32.792793,-117.20758
9645-2016-3108,32.764679,-117.156816
9850-2016-2732,34.443657,-116.945921
9860-2016-7170,34.024853,-117.334667
9550-2016-7843,33.924102,-118.104194
9530-2016-7539,33.873484,-118.244077
9435-2016-3891,36.573551,-119.626317
9266-2016-0677,37.789725,-121.301494
9590-2016-7559,34.038271,-118.274547
9685-2016-1340,33.672772,-117.314633
9645-2016-3095,32.700531,-117.094855
9420-2016-3888,35.673995,-118.043843
9370-2016-7304,37.761128,-122.214363
9650-2016-3618,33.161363,-117.341307
9685-2016-1342,33.571159,-117.214483
9280-2016-6256,38.464983,-121.583007
9630-2016-0654,33.925523,-116.600115
9655-2016-6471,33.555125,-116.674671
9370-2016-7302,37.787821,-122.249022
9280-2016-6284,38.576976,-121.52727
9330-2016-6208,37.582147,-122.25342
9252-2016-6550,38.560099,-121.472945
9340-2016-7349,37.211986,-121.988754
9675-2016-7518,33.821491,-117.87614
9120-2016-0095,41.839591,-124.033254
9370-2016-7312,37.771846,-122.224037
9550-2016-7866,33.939996,-118.097221
9690-2016-3211,33.606819,-117.694457
9420-2016-3704,35.3808620558334,-119.01339587916662
9535-2016-7346,34.001295,-118.174436
9690-2016-3199,33.607622,-117.696303
9540-2016-3121,34.387005,-118.481074
9645-2016-3111,32.653163,-117.105088
9345-2016-6120,37.549288,-122.024788
9535-2016-7395,34.038759,-118.046131
9480-2016-3340,36.202857,-119.475285
9252-2016-6851,38.585326,-121.451964
9590-2016-6180,34.065476,-118.252146
9690-2016-3201,33.556775,-117.672954
9151-2016-0287,39.084775,-122.791297
9535-2016-7472,34.009064,-118.158889
9150-2016-0298,39.417179,-123.808098
9655-2016-6475,33.736303,-116.819762
9690-2016-3200,33.55621,-117.672944
9252-2016-6855,38.557872,-121.448826
9590-2016-6210,34.029424,-118.223815
9340-2016-6626,37.255564,-121.864889
9645-2016-3162,32.83369,-117.169695
9735-2016-0141,36.198092959153875,-121.14533580999998
9675-2016-7280,33.66744,-117.816681
9330-2016-6104,37.416036,-122.085654
9426-2016-2298,35.546489,-119.585431
9645-2016-2963,32.575088,-117.081199
9645-2016-2833,32.76119,-117.204382
9535-2016-6513,33.951658,-118.170526
9330-2016-6171,37.407491,-122.065643
