REPORTNUMBER,LATITUDE,LONGITUDE
9670-2015-0127,33.856142,-117.990305
9690-2015-0057,33.440499,-117.625244
9670-2015-0128,33.76795,-117.97729
9420-2015-0825,35.352644,-119.034861
9670-2015-0118,33.765861,-117.959915
9241-2015-0184,39.751766,-121.840778
9690-2015-0073,33.460809,-117.660202
9725-2015-0176,37.120092,-121.626773
9675-2015-0396,33.84568,-117.830116
9481-2015-0226,36.051204,-119.107479
9530-2015-0069,33.78027,-118.207661
9675-2015-0450,33.788491,-117.831006
9765-2015-0341,34.220535,-119.087118
9690-2015-0122,33.606088,-117.692969
9550-2015-0317,33.914323,-118.099567
9240-2015-0197,39.504856,-121.498357
9675-2015-0491,33.778976,-117.876426
9650-2015-0203,33.303935,-117.470837
9650-2015-0276,33.301923,-117.468395
9730-2015-0351,36.579084,-121.90596
9730-2015-0352,36.579084,-121.90596
9730-2015-0377,36.722295,-121.659772
9730-2015-0348,36.76802,-121.761141
9250-2015-3200,38.713739,-121.540364
9460-2015-0271,37.297084,-120.484021
9335-2015-0664,37.712311,-122.453402
9680-2015-0318,32.746996,-117.024832
9735-2015-0052,36.434093,-121.338708
9250-2015-3252,38.63229,-121.396487
9675-2015-0410,33.710557,-117.849806
9540-2015-0108,34.412794,-118.44545
9335-2015-0665,37.79284352386166,-122.38349561856023
9130-2015-0155,39.909034,-122.200186
9285-2015-0417,39.118102,-121.634635
9765-2015-0276,34.238476,-119.179287
9266-2015-0282,37.785282,-121.306276
9266-2015-0278,37.89059,-121.488119
9430-2015-0062,34.91086801899036,-118.9233372620291
9266-2015-0285,37.76294,-121.43393
9266-2015-0284,37.769973,-121.327918
9250-2015-3169,38.64125,-121.452592
9250-2015-3194,38.681223,-121.338189
9250-2015-3196,38.640158,-121.422344
9650-2015-0176,33.074145,-117.07009
9250-2015-3198,38.671583,-121.34868
9580-2015-0089,34.16029,-118.380677
9426-2015-0137,35.730091,-119.737964
9675-2015-0365,33.814906,-117.877125
9440-2015-0117,36.28485,-119.802122
9360-2015-0535,38.228081,-122.615216
9675-2015-0377,33.7077,-117.780163
9420-2015-0816,35.761953,-119.249215
9750-2015-0119,34.760885,-120.410117
9675-2015-0470,33.867576,-117.709903
9460-2015-0282,37.4055,-120.748056
9266-2015-0283,37.745587,-121.483943
9675-2015-0391,33.687364,-117.873298
9650-2015-0238,33.294135,-117.222317
9590-2015-0060,34.037071,-118.300813
9650-2015-0164,33.180729,-117.317073
9250-2015-3283,38.658871,-121.362359
9660-2015-0012,33.606705,-114.689783
9450-2015-0201,37.001679,-119.966984
9675-2015-0411,33.734103,-117.816094
9320-2015-0734,37.856051,-122.030004
9465-2015-0587,37.640235,-120.572253
9680-2015-0331,32.744121,-116.931388
9745-2015-0177,35.23608,-120.684616
9655-2015-0062,33.931557,-116.829328
9255-2015-0225,38.369343,-120.546613
9550-2015-0319,33.896166,-118.051242
9840-2015-0422,33.943014,-117.281233
9655-2015-0065,33.558302,-116.610698
9655-2015-0070,33.924332,-116.904339
9465-2015-0576,37.258489,-121.092041
9590-2015-0123,34.042405,-118.273045
9550-2015-0328,33.862688,-118.043468
9150-2015-0208,39.053808,-123.156902
9675-2015-0415,33.881859,-117.880437
9150-2015-0211,38.957841,-123.109428
9590-2015-0053,34.116293,-118.238208
9320-2015-0746,37.995291,-122.067802
9150-2015-0220,39.384491,-123.473963
9675-2015-0421,33.756166,-117.854831
9840-2015-0432,33.955119,-117.382006
9435-2015-0736,36.807831,-119.78527
9550-2015-0401,33.956954,-118.110477
9675-2015-0424,33.902974,-117.880999
9266-2015-0293,37.757926,-121.453799
9565-2015-0014,34.030963,-118.433309
9565-2015-0177,33.987764,-118.399118
9465-2015-0632,37.710807,-121.083809
9565-2015-0178,34.048174,-118.447703
9840-2015-0498,33.99548327416954,-117.35571174611863
9840-2015-0420,34.018377,-117.47548
9750-2015-0113,34.905619,-120.418094
9435-2015-0815,36.771441,-119.838195
9840-2015-0417,34.004208,-117.406883
9650-2015-0187,33.36037,-117.159466
9565-2015-0025,34.047704,-118.447305
9675-2015-0480,33.67677,-117.889161
9565-2015-0032,33.930827,-118.345122
9250-2015-3182,38.671222,-121.583175
9840-2015-0511,33.936174,-117.118377
9675-2015-0481,33.667864,-117.81797
