REPORTNUMBER,LATITUDE,LONGITUDE
9525-2016-9031,34.072898,-117.780183
9135-2016-4489,40.979175,-120.786467
9245-2016-1595,38.655327,-121.028435
9650-2016-4336,33.172947,-117.348224
9350-2016-1091,38.154896,-122.421697
9535-2016-8769,34.046704,-118.168672
9535-2016-8914,33.960773,-118.170002
9565-2016-8270,33.941142,-118.368377
9575-2016-8161,34.15530060000005,-118.28786479999995
9350-2016-1077,37.934685,-122.697529
9750-2016-0397,34.863719,-120.394747
9750-2016-0396,34.985905,-119.791014
9750-2016-0400,34.737101,-120.258513
9550-2016-9072,33.850058,-118.094193
9350-2016-1075,37.80114,-122.469438
9565-2016-8492,33.983626,-118.395873
9565-2016-8300,34.017779,-118.481502
9750-2016-0398,34.819258,-120.449988
9350-2016-1071,37.932396,-122.404918
9350-2016-1067,37.995597,-122.533261
9350-2016-1065,37.860709,-122.502663
9650-2016-4339,33.138756,-117.178884
9120-2016-0174,41.878239,-123.827987
9850-2016-2944,34.386012,-116.876104
9860-2016-7979,34.066603,-117.25083
9860-2016-7915,34.065185,-117.303965
9860-2016-7896,34.066172,-117.476606
9650-2016-4331,33.060028,-117.290722
9650-2016-4275,33.390674,-117.589534
9650-2016-4274,33.207173,-117.3852
9370-2016-7819,37.837445,-122.296422
9370-2016-7852,37.942542,-122.32377
9370-2016-7801,37.87692,-122.306936
9370-2016-7824,37.857803,-122.2137
9165-2016-0152,39.817154,-120.331994
9860-2016-7823,34.136354,-117.431687
9860-2016-7858,34.285536,-117.451881
9575-2016-8109,34.15183,-118.142069
9125-2016-0749,40.898188,-124.083728
9575-2016-8104,34.153398,-118.277267
9575-2016-2882,34.145731,-118.165233
9550-2016-9022,33.889926,-118.039604
9765-2016-1246,34.467414,-119.28613
9575-2016-2884,34.145515,-118.166108
9860-2016-8007,34.049878,-117.304328
9855-2016-8660,34.141574,-117.489602
9525-2016-8981,34.120977,-117.880986
9550-2016-9021,33.947497,-118.093235
9580-2016-8105,34.16010081836367,-118.46963526090904
9340-2016-8404,37.380351,-121.958153
9525-2016-8905,34.053482,-117.781281
9222-2016-0565,39.233733,-120.016321
9525-2016-9037,34.016664,-117.817555
9690-2016-4123,33.445645,-117.631898
9330-2016-6687,37.615051,-122.161628
9575-2016-8165,34.260536,-118.191323
9575-2016-8129,34.221954,-118.365449
9345-2016-6576,37.607442,-122.067111
9390-2016-7164,37.702502,-121.741188
9320-2016-7038,37.889357,-121.62343
9675-2016-8382,33.87036272956672,-117.6835342132222
9335-2016-6406,37.632366,-122.420427
9320-2016-6997,37.89663,-122.104686
9340-2016-8392,37.002448,-121.556343
9580-2016-8123,34.273126,-118.550413
9850-2016-2927,34.406941,-117.395831
9330-2016-6691,37.496899,-122.235009
9340-2016-8397,37.209254,-121.722573
9425-2016-0409,37.810843,-119.901395
9580-2016-7862,34.149276,-118.469001
9575-2016-8134,34.15538,-118.294634
9855-2016-8732,34.136018,-117.576102
9365-2016-7071,38.416603,-121.89695
9820-2016-0272,37.778627,-119.07538
9285-2016-7618,39.219307,-121.640978
9680-2016-8016,32.751538,-117.004607
9350-2016-1053,37.961383,-122.509769
9565-2016-8581,34.044175,-118.444259
9565-2016-8529,34.01257,-118.490237
9565-2016-8519,33.932002,-118.368393
9550-2016-9054,34.002463,-118.066017
9565-2016-8510,33.962843,-118.369684
9565-2016-8543,34.027128,-118.458915
9680-2016-8023,32.778967,-116.987167
9565-2016-8531,34.053971,-118.450597
9565-2016-8484,33.906163,-118.370415
9565-2016-8413,34.024249,-118.470267
9565-2016-8414,34.024829,-118.468106
9565-2016-8455,34.039216,-118.439991
9550-2016-9057,33.876862,-118.176786
9565-2016-8456,34.050707,-118.449079
9565-2016-8479,34.028575,-118.448025
9860-2016-7859,34.246276,-117.436755
9125-2016-0783,40.823032,-124.088469
9575-2016-8871,34.163334,-118.294882
9860-2016-7910,34.021372,-117.33784
9575-2016-8894,34.155497,-118.2682
9860-2016-7953,34.31086,-117.473731
9575-2016-8915,34.153434,-118.238015
9860-2016-7956,34.046923,-117.15777
9125-2016-0808,40.806647,-124.15363
9860-2016-7954,34.028517,-117.330998
9370-2016-7821,37.931584,-122.392401
9860-2016-7955,34.132902,-117.302763
9370-2016-7832,37.932933,-122.326188
9860-2016-7961,34.058664,-117.297736
9575-2016-8113,34.163056,-118.158366
9860-2016-7920,34.137526,-117.240076
9580-2016-8088,34.168651,-118.468348
9855-2016-8662,34.067591,-117.522563
9365-2016-7085,38.129709,-122.226048
9530-2016-8697,33.870105,-118.284931
9540-2016-3595,34.3237,-118.465358
9575-2016-8106,34.169606,-118.303391
9825-2016-0220,37.731537,-118.967754
9865-2016-2858,34.208179,-117.150194
9675-2016-8431,33.865909,-117.765885
