REPORTNUMBER,LATITUDE,LONGITUDE
9580-2017-14770,34.266865,-118.482959
9650-2017-13121,33.020538,-117.273092
9370-2017-11789,37.77191,-122.224199
9345-2017-00589,37.663109,-122.105613
9565-2017-14742,33.970993,-118.376351
9835-2017-03791,34.942314,-116.692938
9650-2017-13210,33.180461,-117.354128
9855-2017-15041,34.060817,-117.544983
9565-2017-14931,34.055238,-118.451689
9675-2017-15277,33.75584,-117.854075
9370-2017-11794,37.643439,-122.092851
9760-2017-07758,34.46426,-120.099725
9340-2017-13196,37.375793,-121.936879
9252-2017-12788,38.558112,-121.449704
9685-2017-13321,33.534457,-117.170911
9645-2017-12045,32.926812,-117.239869
9370-2017-12003,37.867115,-122.303904
9860-2017-13766,34.34322614027279,-117.45094217109089
9370-2017-12080,37.897111,-122.308931
9150-2017-00123,38.76655,-123.528835
9840-2017-13609,33.943481,-117.284029
9565-2017-14515,34.044057,-118.444157
9575-2017-14434,34.148812,-118.053123
9525-2017-15092,34.006281,-117.827553
9645-2017-11743,32.800287,-117.211482
9525-2017-15120,34.111889,-117.979602
9525-2017-15197,34.012332,-117.821127
9530-2017-15031,33.860112,-118.311094
9265-2017-09674,37.801195,-121.192415
9590-2017-14995,34.058352,-118.253728
9345-2017-00696,37.607191,-122.066934
9525-2017-15476,34.072897,-117.780532
9550-2017-15760,33.95027,-118.091609
9765-2017-00316,34.218793,-119.065732
9590-2017-15372,33.949815,-118.27981
9565-2016-7635,33.930007,-118.371503
9465-2017-04818,37.667171,-121.033516
9580-2017-15126,34.27236,-118.49039
9855-2017-15242,34.135079,-117.595092
9670-2017-14856,33.802487,-117.901357
9680-2017-11986,32.778967,-116.987167
9260-2017-12383,38.632615,-121.213717
9370-2017-12004,37.754786,-122.208849
9160-2017-00038,39.555699,-122.214599
9770-2017-00269,34.254068,-118.996987
9720-2017-0050,37.114631,-121.974622
9525-2017-15042,34.123829,-117.913538
9590-2017-14696,34.056009,-118.256107
9630-2017-00281,33.667734,-115.661158
9840-2017-14767,34.006296,-117.550305
9525-2017-15288,34.024824,-117.736359
9345-2017-00596,37.614322,-122.072026
9530-2017-15098,33.833518,-118.287347
9220-2017-10946,38.791763,-121.218751
9675-2017-15193,33.685548,-117.863407
9335-2017-11755,37.783910885714334,-122.39410291428567
9680-2017-11850,32.799299,-116.976112
9701-2017-00004,34.292667,-118.857489
9650-2017-13318,33.351214,-117.523498
9525-2017-15012,34.067035,-117.985536
9320-2017-09357,37.823706,-121.993971
9465-2017-04805,37.634302,-121.000994
9530-2017-15377,33.859816,-118.299953
9252-2017-12997,38.560678,-121.464062
9340-2017-13327,37.363203,-121.893605
9565-2017-14924,33.933676,-118.354171
9480-2017-09625,36.314626,-119.394677
9580-2017-15108,34.183574,-118.472856
9465-2017-04658,37.548528,-120.906511
9370-2017-09800,37.767534,-122.219712
9760-2017-07688,34.521428,-119.829922
9840-2017-13532,33.765095,-117.475848
9550-2017-14985,33.877178,-118.138576
9685-2017-13153,33.433435,-117.142708
9650-2017-10150,33.304136,-117.471082
9150-2017-00139,39.303103,-123.298047
9675-2017-15026,33.628318,-117.720561
9765-2017-00364,34.2164,-119.032529
9525-2017-15128,34.120883,-117.88952
9370-2017-11776,37.824646,-122.311291
9525-2017-15112,34.024348,-117.750386
9535-2017-14904,33.948455,-118.170338
9770-2016-9701,34.184667,-118.89563
9645-2017-11877,32.742957,-117.183452
9765-2017-00381,34.359093,-119.042632
9370-2017-11777,37.851406,-122.299506
9390-2017-09075,37.581707,-121.874579
9750-2017-00280,34.718641,-120.203299
9645-2017-11827,32.877645,-117.228663
9670-2017-14869,33.695868,-117.935617
9850-2017-03779,34.416355,-117.388492
9330-2017-12846,37.405966,-122.058638
9770-2017-00329,34.192082,-118.944455
9330-2017-12843,37.404246,-122.051858
9770-2017-00344,34.176367,-118.863036
9330-2017-12857,37.438555,-122.112151
9840-2017-14957,34.011948,-117.434367
9565-2017-14884,34.045826,-118.445681
9770-2017-00341,34.188806,-118.937002
9266-2017-00248,37.890075,-121.517736
9645-2016-5479,32.936562,-117.111384
9725-2017-02885,37.201055,-121.7086
9370-2017-09773,37.768807,-122.220642
9260-2017-12154,38.613738,-121.25793
9685-2017-13161,33.655173,-117.292474
9550-2017-15068,33.928226,-118.103091
9650-2017-10085,33.127988,-117.325561
9565-2017-14750,34.027305,-118.458064
9330-2017-12650,37.560122,-122.302344
9575-2017-14468,34.145612,-118.155052
9565-2017-14749,34.024607,-118.468938
9330-2017-12741,37.544723,-122.288073
9345-2017-00586,37.507125,-121.967159
9770-2017-00273,34.347189,-118.913853
9370-2017-11860,37.992595,-122.306154
9252-2017-12690,38.453542,-121.408936
9345-2017-00670,37.718919,-122.176509
9330-2017-12733,37.484765,-122.185402
9440-2017-00357,36.415932,-119.636777
9670-2017-15124,33.799811,-117.898575
9370-2017-11969,37.915485,-122.317426
9525-2017-15587,34.074594,-117.750486
