REPORTNUMBER,LATITUDE,LONGITUDE
9450-2016-0761,37.071101,-120.193175
9365-2016-6230,38.065071,-122.166231
9265-2016-4078,37.959099,-121.255953
9390-2016-6004,37.701496,-121.920324
9340-2016-6446,37.376931,-121.942707
9535-2016-6532,33.996598,-118.146126
9330-2016-5664,37.618206,-122.151086
9530-2016-5794,33.871299,-118.284933
9565-2016-6606,34.073582,-118.467213
9565-2016-6634,33.999061,-118.408064
9660-2016-0044,33.60903,-114.753227
9565-2016-6605,33.977043,-118.388182
9525-2016-4255,34.009902,-117.823593
9565-2016-6616,34.013619,-118.419577
9565-2016-6548,34.028491,-118.448355
9565-2016-6530,34.075171,-118.468439
9565-2016-6635,34.046178,-118.445986
9565-2016-6625,34.072363,-118.466263
9650-2016-2916,33.137268,-117.161432
9565-2016-6636,33.925417,-118.313519
9650-2016-2896,33.075489,-117.070315
9535-2016-5856,33.945408,-118.170667
9565-2016-6584,34.024607,-118.468938
9151-2016-0174,38.974251,-122.83839
9535-2016-5882,33.926943,-118.178112
9650-2016-2874,33.139212,-117.153454
9340-2016-6448,37.36814,-121.923938
9680-2016-6035,32.803064,-116.932321
9325-2016-0285,38.355196,-122.214466
9265-2016-3863,37.933358,-121.05584
9335-2016-5519,37.755227,-122.403092
9530-2016-6228,33.859739,-118.284736
9220-2016-1162,38.775426,-121.239863
9670-2016-6267,33.773526,-117.906601
9340-2016-6375,37.296092,-121.873582
9850-2016-2564,34.571056,-117.277182
9540-2016-0086,34.318833,-118.485078
9840-2016-3309,33.885335,-117.549705
9540-2016-2644,34.47512,-118.306828
9670-2016-6269,33.854099,-117.921593
9345-2016-5643,37.676819,-122.117636
9540-2016-2650,34.418772,-118.58098
9580-2016-6014,34.167718,-118.383941
9370-2015-1095,37.869501,-122.304631
9525-2016-3847,34.081868,-117.71263
9360-2016-0591,38.695739,-123.431026
9222-2016-0433,39.369873,-120.048236
9280-2016-0202,38.673629,-121.695303
9450-2016-0732,36.938206,-120.035986
9550-2016-6512,33.876414,-118.06789
9375-2016-1625,37.694991,-122.103873
9830-2016-2552,35.183544,-118.498732
9685-2016-0947,33.656123,-117.17119
9760-2016-0835,34.455285,-119.751435
9365-2016-6240,38.240088,-122.074372
9840-2016-6344,33.909041,-117.28087
9340-2016-6341,37.291073,-121.871572
9280-2016-6151,38.575014,-121.539528
9550-2016-6540,33.877149,-118.141359
9525-2016-3946,34.120859,-117.876808
9645-2016-2022,32.840958,-117.13511
9370-2016-5789,37.883966,-122.308605
9265-2016-4066,37.783364,-121.198341
9540-2016-2696,34.358149,-118.506551
9151-2016-0158,39.175304,-123.014223
9550-2016-6463,34.00602,-117.961536
9840-2016-3078,33.941894,-117.274675
9540-2016-2700,34.27367,-118.449843
9590-2016-5502,34.101423,-118.316446
9390-2016-6009,37.510777,-121.937505
9540-2016-2701,34.316306,-118.490526
9670-2016-6361,33.854102,-117.94724
9535-2016-5835,34.038886,-118.020263
9250-2016-6298,38.708225,-121.30864
9230-2016-0186,39.21096,-120.78327
9675-2016-6309,33.856181,-117.7858
9340-2016-6433,37.480217,-121.91271
9675-2016-6303,33.717764,-117.842633
9525-2016-4207,34.120515,-117.823465
9675-2016-6278,33.686285,-117.865134
9360-2016-0570,38.557102,-122.818562
9245-2016-1090,38.654913,-121.035307
9565-2016-6585,34.015037,-118.485522
9151-2016-0160,39.029181,-122.737588
9550-2016-6520,33.876404,-118.093624
9565-2016-6617,34.04158,-118.442023
9565-2016-6406,33.971655,-118.377646
9565-2016-6468,34.125922,-118.475874
9565-2016-6478,34.016794,-118.482795
9565-2016-6480,34.018509,-118.480631
9565-2016-6460,33.970885,-118.376138
9565-2016-6461,33.924467,-118.368478
9550-2016-6700,33.876395,-118.104933
9565-2016-6496,33.903402,-118.370406
9565-2016-6477,33.988379,-118.3996
9860-2016-6512,34.039138,-117.153448
9565-2016-6467,34.039935,-118.440586
9565-2016-6490,34.092363,-118.475862
9266-2016-0477,37.95302,-121.273092
9345-2016-5561,37.688986,-122.107073
9580-2016-5979,34.155644,-118.43633
9435-2016-3123,36.814178,-119.727552
9540-2016-2651,34.640841,-118.748906
9840-2016-6545,33.981635,-117.368095
9220-2016-1144,38.933394,-121.091666
9370-2016-5535,37.897111,-122.308931
9580-2016-5985,34.153099,-118.652777
9340-2016-6405,37.265652,-121.85904
9340-2016-6281,37.36814,-121.923938
9540-2016-2689,34.379866,-118.49107
9770-2016-0353,34.276773,-118.924727
9820-2016-0168,37.83701300800005,-119.07458166442854
9265-2016-4008,37.971684,-121.241113
9340-2016-6337,37.403414,-122.048225
9370-2016-5811,37.827061,-122.284935
9285-2016-0287,39.20959,-121.307246
9325-2016-0279,38.239657,-122.26684
9265-2016-3951,38.07226,-121.377129
9320-2016-5725,37.953383,-121.744654
9435-2016-3177,36.750114,-119.797355
9525-2016-4268,33.999682,-117.849364
9530-2016-6136,33.902511,-118.286612
9365-2016-6223,38.117548,-122.288698
9550-2016-6669,33.876828,-118.172983
9855-2016-3859,34.065755,-117.494187
9545-2016-0470,34.435992,-118.377098
9580-2016-5990,34.156674,-118.422172
9730-2016-3715,36.570378,-121.761347
9480-2016-2932,36.327179,-119.370498
9525-2016-6508,34.108416,-117.981387
9222-2016-0431,39.167076,-120.144584
9550-2016-6668,33.876406,-118.091188
9685-2016-0948,33.777709,-117.206688
9720-2016-0803,36.987431,-121.987943
9865-2016-2690,34.228413,-117.247735
9550-2016-6267,34.006704,-117.963736
9580-2016-5989,34.149606,-118.66538
9680-2016-6040,32.95495,-116.969113
9390-2016-6008,37.590332,-121.870215
9675-2016-6305,33.793453,-117.878957
9535-2016-6262,34.007623,-118.172386
9345-2016-5671,37.618085,-122.074724
9340-2016-6231,37.165499,-121.988216
9675-2016-6314,33.836779,-117.835159
9840-2016-6430,33.877238,-117.659458
9365-2016-6236,38.110638,-122.229656
9450-2016-0763,36.848487,-119.942995
9525-2016-4236,33.959056,-117.858335
9590-2016-6651,34.103269,-118.192143
9860-2016-3254,34.068263,-117.388817
9340-2016-6374,37.349335,-121.839176
9855-2016-3639,34.136518,-117.538469
9840-2016-6450,33.84206,-117.250249
9450-2016-0764,36.851355,-120.05588
9535-2016-0263,33.917964,-118.178971
9865-2016-2689,34.261152,-116.845585
9335-2016-5623,37.702292,-122.471707
9540-2016-2725,34.644799,-118.751258
9645-2016-2025,32.584107,-117.03693
9575-2016-5999,34.143083,-118.186037
9855-2016-3883,34.030116,-117.709398
9330-2016-5676,37.495494,-122.368902
9540-2016-2681,34.51185832161426,-118.63246141735532
9320-2016-5695,37.913125,-122.067007
9370-2016-5830,37.761128,-122.214363
9690-2016-0448,33.618853,-117.7118
9590-2016-5489,34.028447,-118.229622
9645-2016-2152,32.775613,-117.123435
9480-2016-0504,36.210321,-119.328545
9645-2016-1790,32.957953,-117.151535
9345-2016-5673,37.53955,-122.017524
9525-2016-6585,34.120897,-117.887606
9480-2016-0505,36.326936,-119.237478
9590-2016-6101,34.048152,-118.266216
9525-2016-2870,34.070864,-117.762101
9690-2016-0514,33.519426,-117.665239
9150-2016-0184,39.377123,-123.336488
