REPORTNUMBER,LATITUDE,LONGITUDE
9675-2016-10023,33.877153,-117.880345
9590-2016-10543,34.05683,-118.255299
9280-2016-6801,38.575049,-121.548915
9675-2016-10091,33.653548,-117.770307
9670-2016-10094,33.774301,-118.025468
9280-2016-6786,38.677893,-121.839625
9465-2016-3381,37.703455,-120.994634
9650-2016-8908,33.082007,-117.297339
9535-2016-10649,34.061803,-118.000658
9670-2016-10064,33.828379,-117.927873
9465-2016-3379,37.709425,-121.080419
9675-2016-9282,33.694446,-117.865477
9465-2016-3401,37.538577,-121.265723
9650-2016-8975,32.987452,-117.25527
9150-2016-3092,39.169739,-123.209122
9645-2016-5460,32.752703,-117.108783
9675-2016-10033,33.88907,-117.880575
9535-2016-10497,34.063348,-118.160792
9250-2016-9756,38.634244,-121.49952
9540-2016-4376,34.362457,-118.505077
9340-2016-9964,37.318081,-121.98363
9340-2016-9970,37.410824,-121.991329
9720-2016-2288,36.954067,-121.855801
9540-2016-4366,34.324405,-118.502126
9685-2016-4493,33.63862,-117.171169
9675-2016-10179,33.881717,-117.880434
9340-2016-9972,37.394856,-122.009138
9525-2016-11004,34.081523,-117.732009
9460-2016-1443,37.295622,-120.470464
9645-2016-5298,32.862007,-117.187553
9860-2016-8907,34.050035,-117.159644
9860-2016-8909,34.065138,-117.316583
9860-2016-8904,34.143633,-117.320789
9860-2016-9001,34.067873,-117.404179
9590-2016-10340,34.036954,-118.292266
9860-2016-8896,34.115343,-117.302591
9860-2016-8885,34.214029,-117.391161
9525-2016-10274,34.135457,-117.990862
9335-2016-6977,37.811508,-122.363693
9530-2016-10540,33.8768,-118.186835
9675-2016-10194,33.728472,-117.834155
9550-2016-11220,33.947492,-118.100814
9675-2016-10244,33.755251,-117.852712
9335-2016-6986,37.769668,-122.416616
9126-2016-3008,39.424687,-123.354111
9770-2016-1034,34.281574,-118.675106
9320-2016-7721,37.991692,-122.079073
9590-2016-9749,34.038154,-118.277244
9345-2016-7317,37.483253,-121.936556
9461-2016-0816,37.076966,-121.206774
9440-2016-0480,36.255964,-119.808309
9335-2016-6978,37.812214,-122.363196
9420-2016-5674,35.271562,-119.024138
9540-2016-4388,34.302654,-118.423023
9285-2016-7970,39.12683,-121.581008
9260-2016-8684,38.642216,-121.137959
9840-2016-10433,33.861764,-117.537995
9535-2016-10715,33.892248,-118.188176
9855-2016-9685,34.111541,-117.525874
9220-2016-8759,38.834262,-121.16817
9525-2016-10733,34.135476,-118.002564
9345-2016-7374,37.511492,-121.972574
9295-2016-1469,38.360659,-120.743205
9150-2016-3113,39.075245,-123.21267
9535-2016-10665,34.071514,-118.132051
9435-2016-9163,36.622292,-119.679673
9465-2016-3425,37.504429,-120.876271
9855-2016-9681,34.066164,-117.476955
9535-2016-10451,33.963757,-118.169375
9565-2016-10069,33.970346,-118.375071
9461-2016-0802,36.948456,-120.862594
9645-2016-3841,32.65387,-117.105399
9550-2016-11043,33.877013,-118.154205
9530-2016-10537,33.863532,-118.322971
9340-2016-10055,37.400593,-122.035281
9525-2016-10845,33.999831,-117.848518
9340-2016-10079,37.257082,-122.119157
9590-2016-10856,34.036754,-118.317323
9550-2016-11202,34.02059,-117.989177
9675-2016-10277,33.85088,-117.843711
9150-2016-3104,39.413777,-123.762865
9550-2016-11171,33.992178,-118.069534
9655-2016-7099,33.907231,-116.869425
9340-2016-10093,37.347985,-121.919381
9265-2016-7673,37.883622,-121.279072
9670-2016-10076,33.7743,-118.025295
9550-2016-11186,34.003718,-118.064608
9340-2016-10080,37.355112,-121.867198
9390-2016-7966,37.741948,-121.572683
9625-2016-8125,32.884675,-115.570214
9345-2016-7372,37.472579,-121.930808
9390-2016-8017,37.546529,-121.919916
9350-2016-1560,37.942095,-122.475155
9525-2016-10780,34.115096,-117.977656
9685-2016-4517,33.484456,-117.142082
9245-2016-1938,38.737284,-120.704847
9340-2016-10144,37.331958,-121.939485
9685-2016-4515,33.739068,-117.077531
9675-2016-10316,33.788603,-117.886645
9465-2016-3453,37.63807,-121.094807
9350-2016-1551,37.834675,-122.484179
9390-2016-8016,37.591533,-121.879053
9365-2016-9306,38.248635,-122.071144
9345-2016-7358,37.521071,-121.984848
9860-2016-8759,34.093404,-117.301889
9280-2016-6773,38.588863,-121.953243
9370-2016-8679,37.849255,-122.299009
9221-2016-1148,39.126714,-120.958238
9670-2016-9808,33.77433,-118.066322
9735-2016-0263,36.34858,-121.263774
9580-2016-9647,34.155869,-118.40154
9265-2016-7205,37.95879,-121.257174
9530-2016-10148,33.79478,-118.10502
9285-2016-7867,39.068967,-121.633421
9440-2016-0511,36.254872,-119.808746
9725-2016-8710,36.841574,-121.476177
9340-2016-9605,37.296988,-121.939759
9320-2016-7700,37.837609,-122.01363
9850-2016-3120,34.385274,-117.413496
9221-2016-1149,39.132529,-120.935563
9645-2016-5140,32.727864,-117.104848
9580-2016-9690,34.232685,-118.473079
9725-2016-8712,37.155274,-121.654745
9550-2016-10605,33.925252,-118.103981
9680-2016-8827,32.74444,-116.967107
9550-2016-10619,33.935759,-118.099453
9335-2016-6877,37.718517,-122.448472
9530-2016-9929,33.825248,-118.222127
9335-2016-6878,37.630277,-122.402569
9335-2016-6907,37.764211,-122.392896
9530-2016-9965,33.872662,-118.27322
9565-2016-9753,34.001862,-118.41026
9565-2016-9687,34.027372,-118.457727
9390-2016-7924,37.62906,-121.880724
9370-2016-8622,37.827777,-122.212257
9335-2016-6951,37.779223,-122.4001
9720-2016-2134,36.887042,-121.772895
9335-2016-6884,37.725503,-122.401911
9645-2016-5243,32.760416,-117.196521
9730-2016-5223,36.769936,-121.738038
9645-2016-5268,32.7808,-117.085011
9530-2016-10132,33.859782,-118.292614
9530-2016-10133,33.859782,-118.292614
9540-2016-4247,34.338509,-118.51585
9525-2016-10378,34.025006,-117.732004
9590-2016-10111,34.057514,-118.214286
9325-2016-1277,38.334678,-122.264259
9670-2016-9916,33.824934,-117.924752
9550-2016-10745,33.876407,-118.090144
9525-2016-10430,34.066864,-117.98684
9230-2016-1287,39.198292,-121.057084
9390-2016-7810,37.73109132629417,-121.63205760823524
9545-2016-1346,34.469945,-117.69056
9860-2016-8689,34.188947,-117.35833
9670-2016-9862,33.775336,-118.087056
9840-2016-10131,33.881382,-117.548882
9670-2016-9918,33.762727,-118.0264
9365-2016-9225,38.084656,-122.203127
9670-2016-9768,33.774293,-118.021297
9840-2016-10133,33.961056,-117.377612
9730-2016-5280,36.740955,-121.658875
9565-2016-9513,34.030842,-118.433212
9675-2016-7373,33.751359,-117.729722
9535-2016-9826,33.918539,-118.178856
9550-2016-10112,33.876398,-118.101386
9730-2016-5030,36.671713,-121.811703
9565-2016-9423,33.927224,-118.301392
9540-2016-4093,34.277549,-118.47024
9765-2016-1621,34.21901,-119.068104
9840-2016-9984,34.0128,-117.550293
9855-2016-7838,34.030401,-117.654206
9330-2016-7106,37.520044,-122.263013
9540-2016-4094,34.361683,-118.505515
9865-2016-3000,34.170424,-116.768955
9730-2016-5072,36.804112,-121.65224
9370-2016-8294,37.730795,-122.187769
9540-2016-4103,34.287852,-118.467617
9250-2016-9240,38.610701,-121.427243
9330-2016-7100,37.586208,-122.331443
9550-2016-10147,33.927809,-118.103243
9280-2016-6645,38.618554,-121.953409
9840-2016-10026,33.942009,-117.275341
9685-2016-4309,33.527229,-117.166114
9580-2016-9438,34.170454,-118.467684
9550-2016-10148,33.876617,-118.114935
9675-2016-9514,33.710326,-117.782558
9252-2016-8988,38.472982,-121.421453
9370-2016-8372,37.863307,-122.302776
9550-2016-10173,33.899038,-118.105001
9670-2016-9556,33.774376,-118.073243
9425-2016-0535,37.818392,-120.274032
9580-2016-9489,34.168156,-118.582852
9685-2016-4310,33.502199,-117.152017
9525-2016-10243,34.118477,-117.841541
9550-2016-10139,33.866023,-118.049582
9550-2016-10197,33.962172,-118.117707
9550-2016-10212,34.029082,-118.012966
9575-2016-9557,34.147609,-118.279312
9575-2016-9561,34.153612,-118.340001
9575-2016-2910,34.285009,-118.412367
9575-2016-9586,34.152535,-118.099896
9140-2016-0215,40.257402,-121.451801
9645-2016-4942,32.973369,-117.250636
9450-2016-4315,37.010319,-119.876228
9450-2016-4311,36.998758,-120.104577
9450-2016-4312,36.94596,-120.044057
9450-2016-4313,36.923368,-119.794047
9450-2016-4314,36.923079,-119.794045
9450-2016-4321,37.010343,-119.793927
9675-2016-9524,33.775334,-117.84775
9675-2016-9519,33.777646,-117.858227
9675-2016-9508,33.867576,-117.709903
9675-2016-9526,33.692911,-117.928444
9675-2016-9546,33.667025,-117.815389
9590-2016-10039,34.06576,-118.252541
9735-2016-0249,36.34022,-121.255735
9260-2016-8491,38.55875,-121.379323
9535-2016-9726,34.074806,-118.16116
9735-2016-0250,36.36852,-121.283194
9840-2016-9915,33.932885,-117.410156
9266-2016-7092,37.764783,-121.410697
9590-2016-9980,34.038271,-118.274547
9535-2016-9574,34.016162,-118.172808
9670-2016-9442,33.770749,-118.036006
9590-2016-10036,34.12854,-118.346759
9435-2016-8664,36.767069,-119.779869
9525-2016-9624,34.023367,-117.751096
9680-2016-8630,32.897729,-116.934344
9855-2016-9291,34.064493,-117.544897
9220-2016-8674,38.764897,-121.256664
9565-2016-9336,34.005881,-118.413437
9435-2016-8648,36.739828,-119.811578
9535-2016-9420,34.033275,-118.11719
9675-2016-9637,33.850133,-117.815267
9675-2016-9623,33.925256,-117.880164
9675-2016-9644,33.687598,-117.898312
9675-2016-9621,33.825118,-117.876135
9265-2016-7272,37.798585,-121.041532
9675-2016-8066,33.686986,-117.867604
9675-2016-8396,33.670631,-117.826213
9565-2016-9455,34.054201,-118.450796
