REPORTNUMBER,LATITUDE,LONGITUDE
9550-2016-11771,33.876406,-118.091884
9580-2016-10167,34.173301,-118.53785
9580-2016-10170,34.159406,-118.462524
9580-2016-10173,34.168779,-118.468273
9252-2016-9719,38.551735,-121.43238
9265-2016-7362,37.91694,-121.443208
9370-2016-8916,37.91961,-122.332056
9252-2016-9720,38.580273,-121.464204
9340-2016-10450,37.333593,-122.063763
9370-2016-8926,37.836594,-122.296014
9252-2016-9723,38.457401,-121.410813
9675-2016-10708,33.655566,-117.743789
9680-2016-9524,32.736122,-116.940966
9420-2016-6030,35.348022,-119.039528
9345-2016-7612,37.508556,-122.114607
9855-2016-9978,34.082528,-117.696781
9340-2016-10514,37.310974,-121.884068
9350-2016-1726,37.981175,-122.521618
9580-2016-10214,34.220923,-118.473195
9535-2016-11030,34.071509,-118.1324
9580-2016-10202,34.265851,-118.452481
9580-2016-10204,34.16498911700005,-118.47422015499997
9860-2016-9303,34.114341,-117.200001
9220-2016-8949,38.76872,-121.25059
9580-2016-10255,34.27736,-118.497799
9535-2016-11032,34.03311,-118.132154
9580-2016-10192,34.138586,-118.721368
9420-2016-6045,35.377509,-119.044454
9580-2016-10203,34.238768,-118.47302
9530-2016-11030,33.873636,-118.257262
9730-2016-5601,36.788123,-121.667866
9530-2016-11011,33.896014,-118.286139
9530-2016-11012,33.829532,-118.287351
9730-2016-5614,36.449219,-121.363163
9575-2016-10205,34.286788,-118.408833
9530-2016-11038,33.807026,-118.150934
9860-2016-9291,34.169808,-117.337904
9575-2016-10206,34.257441,-118.435867
9530-2016-11050,33.87357,-118.251189
9530-2016-11036,33.927474,-118.280987
9590-2016-11390,34.037113,-118.306556
9860-2016-9279,34.08995,-117.301901
9860-2016-9298,34.033693,-117.140205
9370-2016-8853,37.785296,-122.243529
9860-2016-9297,34.067288,-117.428593
9370-2016-8972,37.842941,-122.297546
9860-2016-9309,34.066619,-117.2266
9360-2016-3664,38.41907,-122.71586
9435-2016-9383,36.578689,-119.631947
9460-2016-1581,37.287355,-120.455254
9125-2016-1099,40.90635,-123.735578
9525-2016-10816,34.024921,-117.734028
9370-2016-8906,37.776406,-122.235819
9175-2016-0212,40.836676,-123.487038
9250-2016-10186,38.641499,-121.470803
9365-2016-9502,38.257637,-122.063021
9525-2016-11454,34.135389,-117.975192
9680-2016-9600,32.803052,-116.960797
9365-2016-9463,38.208078,-122.150149
9495-2016-6951,35.807202,-120.102886
9525-2016-11440,34.117619,-117.849523
9246-2016-0238,38.829406,-119.779099
9146-2016-0227,41.15462,-122.294633
9440-2016-0611,36.315452,-119.807938
9840-2016-10888,34.018218,-117.536736
9340-2016-10321,37.422512,-121.928511
9860-2016-9066,34.134713,-117.347539
9250-2016-10051,38.624437,-121.518151
9840-2016-10889,33.912919,-117.557894
9580-2016-10039,34.194122,-118.474292
9246-2016-0229,38.716566,-119.954112
9340-2016-10324,37.316811,-121.925258
9670-2016-10159,33.706101,-117.955332
9420-2016-5899,35.408044,-119.050201
9575-2016-10216,34.153172,-118.366664
9630-2016-6678,33.696584,-115.479391
9645-2016-5815,32.695015,-117.09491
9670-2016-10163,33.774633,-118.00988
9840-2016-10891,34.014119,-117.449356
9340-2016-10323,37.334452,-121.860474
9860-2016-9070,34.081535,-117.200679
9855-2016-9845,34.105353,-117.533349
9420-2016-5864,35.776518,-119.05334
9350-2016-1646,38.148959,-122.452397
9370-2016-8797,37.794536,-122.265243
9860-2016-9117,34.124929,-117.201062
9860-2016-9118,34.144869,-117.272486
9860-2016-9124,34.063802,-117.272716
9645-2016-5883,32.747444,-117.156284
9860-2016-9141,34.06738,-117.435182
9590-2016-11015,34.113149,-118.176777
9590-2016-11016,34.107406,-118.25717
9860-2016-9132,34.237838,-117.426668
9645-2016-5947,32.773381,-117.13312
9860-2016-9145,34.060831,-117.175601
9860-2016-9144,34.14556,-117.316082
9550-2016-11521,33.922093,-118.104468
9645-2016-5948,32.775694,-117.123289
9860-2016-9156,34.11741,-117.302563
9645-2016-5966,32.709998,-117.147633
9540-2016-4560,34.308945,-118.484987
9345-2016-7496,37.617454,-122.074276
9435-2016-9431,36.755006,-119.755582
9730-2016-5419,36.983359,-121.928037
9221-2016-1175,39.31546391883341,-120.61704680133329
9675-2016-10465,33.689872,-117.869821
9745-2016-1138,35.069812,-120.514435
9330-2016-7297,37.589659,-122.360596
9650-2016-8795,33.170147,-117.346133
9460-2016-1517,37.325252,-120.552808
9835-2016-1155,34.880568,-116.971471
9495-2016-6936,35.774909,-120.149058
9860-2016-9215,34.14435,-117.264492
9461-2016-0854,37.089911,-121.158248
