REPORTNUMBER,LATITUDE,LONGITUDE
9525-2015-1355,34.120216,-117.820047
9645-2015-1213,32.675117,-117.037617
9350-2015-0664,37.845166,-122.486181
9590-2015-1502,34.044882,-118.21593
9525-2015-1356,34.120216,-117.820047
9675-2015-1793,33.782896,-117.881282
9745-2015-0392,35.138089,-120.630228
9365-2015-0932,38.185399,-122.135777
9580-2015-1066,34.16436307950007,-118.47295987999999
9370-2015-1352,37.932023,-122.401099
9765-2015-0668,34.394345,-119.300545
9580-2015-1058,34.159308697421665,-118.46546544363065
9250-2015-4232,38.627103,-121.409968
9265-2015-3024,38.057417,-121.37252
9580-2015-1053,34.157728,-118.4537
9580-2015-1078,34.274054,-118.54708
9365-2015-0933,38.090374,-122.230874
9495-2015-1021,36.428734,-120.387882
9580-2015-1079,34.228764,-118.473117
9420-2015-1650,35.7928,-119.252562
9360-2015-0963,38.313945,-122.715047
9230-2015-0375,39.142231,-121.070874
9345-2015-1135,37.492975,-121.948867
9525-2015-0978,33.99986,-117.848349
9580-2015-4381,34.221068,-118.473193
9265-2015-2921,38.220166,-121.271796
9330-2015-3865,37.45961,-122.139424
9375-2015-1007,37.690861,-122.070909
9835-2015-0306,34.883881,-117.060311
9420-2015-1676,35.370475,-119.042788
9335-2015-1151,37.797171425245594,-122.37877750795757
9530-2015-1109,33.884333,-118.352119
9252-2015-3925,38.585506,-121.450536
9530-2015-1342,33.873654,-118.238174
9565-2015-1528,33.988117,-118.390067
9535-2015-0808,34.072064,-118.086217
9340-2015-4393,37.255514,-121.863559
9252-2015-3935,38.37394,-121.476514
9340-2015-4430,37.381795,-121.904318
9765-2015-0679,34.265484,-119.269707
9565-2015-1500,33.965309,-118.370464
9765-2015-0671,34.222272,-119.136226
9420-2015-1614,35.437837,-119.079785
9340-2015-4340,37.317961,-121.978107
9675-2015-1741,33.778862,-117.876317
9670-2015-1509,33.775492,-118.087322
9730-2015-0860,36.583663,-121.85684
9535-2015-1216,34.033048,-118.139145
9265-2015-2869,37.949119,-121.295988
9525-2015-1279,34.026528,-117.790888
9675-2015-1756,33.89249,-117.880656
9855-2015-1104,34.067477,-117.560034
9670-2015-1716,33.854114,-117.921419
9840-2015-1118,33.878523,-117.657783
9565-2015-1400,34.046647,-118.446391
9675-2015-1778,33.87018116079204,-117.74512787847995
9690-2015-1466,33.557578,-117.548694
9855-2015-1103,34.067636,-117.590363
9550-2015-1310,33.958285,-118.112326
9865-2015-0205,34.175453,-116.73974
9365-2015-0911,38.14825,-122.216776
9525-2015-1455,34.121095,-117.898582
9645-2015-1183,32.948091,-117.243346
9650-2015-0945,33.355314,-117.529537
9660-2015-0039,33.801308,-114.528026
9450-2015-0406,37.029319,-120.141116
9630-2015-0537,33.749388,-116.268569
9265-2015-2870,37.797658,-121.143237
9745-2015-0391,35.138125,-120.630399
9450-2015-0404,37.084231,-120.20936
9590-2015-0368,34.037599,-118.219935
9340-2015-4454,37.334984,-122.058238
9540-2015-1039,34.693566,-118.78983
9590-2015-0680,34.057157,-118.254963
9390-2015-0998,37.701163,-121.840225
9645-2015-1221,32.714004,-117.128314
9530-2015-1649,33.873816,-118.232267
9675-2015-1799,33.692012,-117.926266
9375-2015-0983,37.691547,-122.100355
9645-2015-1220,32.89984753261368,-117.22454889213631
9550-2015-0987,33.918881,-118.081095
9365-2015-0980,38.180247,-122.132887
9280-2015-3571,38.817751,-121.902632
9690-2015-1445,33.406991,-117.599064
9420-2015-1629,35.59518680811118,-119.20971735011108
9690-2015-1478,33.466768,-117.669248
9345-2015-1128,37.45635,-121.923356
9840-2015-1670,33.7996,-117.232176
9250-2015-4373,38.671443,-121.602373
9590-2015-0304,34.035112,-118.332527
9590-2015-0690,34.068651,-118.216825
9370-2015-1472,37.837018,-122.296221
9590-2015-0418,34.035307,-118.328688
9370-2015-1467,37.797336,-122.27196
9590-2015-0419,34.037481,-118.28226
9590-2015-0409,34.053779,-118.236199
9370-2015-1471,37.740714,-122.196468
9330-2015-4065,37.513609,-122.255757
9340-2015-4554,37.421307,-121.935358
9670-2015-1545,33.85416,-117.936973
9365-2015-0943,38.355306,-121.977533
9340-2015-3878,37.256155,-121.794765
9265-2015-2960,38.039385,-121.037134
9325-2015-0627,38.17538,-122.453317
9420-2015-1691,35.358098,-119.039463
9840-2015-1078,33.730259,-117.397079
9685-2015-0540,33.630365,-117.275548
9840-2015-1340,33.958778,-117.378233
9365-2015-0949,38.399104,-121.91985
9340-2015-4679,37.363695,-121.899196
9335-2015-1181,37.644297,-122.448004
9125-2015-0516,40.644618,-124.208321
9680-2015-1114,32.648018,-116.365748
9645-2015-1496,32.717861,-117.086671
9325-2015-3675,38.655052,-122.597597
9670-2015-1711,33.70888,-117.958657
9330-2015-4045,37.552642,-122.300338
9590-2015-1368,34.081712,-118.295571
9575-2015-1172,34.156382,-118.246117
9850-2015-1011,34.383588,-117.414861
9580-2015-4398,34.144122,-118.367781
9545-2015-0348,34.533555,-118.115711
9575-2015-1256,34.153776,-118.34829
9720-2015-0693,36.99211,-122.01999
9685-2015-0524,33.497702,-117.149244
9685-2015-0518,33.522218,-117.162774
9140-2015-0118,40.439241,-120.83769
9330-2015-4048,37.564916,-122.271974
9390-2015-0982,37.701622,-121.895032
9655-2015-0345,33.924271,-116.889089
9840-2015-1511,33.892669,-117.272758
9265-2015-3017,37.971684,-121.241113
9680-2015-1112,32.925457,-116.945835
9575-2015-1212,34.141723,-118.277904
9720-2015-0795,36.93104,-121.809055
9265-2015-3037,38.18798,-121.262649
9675-2015-1718,33.842992,-117.87606
9245-2015-0682,38.662278,-120.93874
9245-2015-0683,38.738479,-120.729669
9530-2015-1283,33.928703,-118.284264
9530-2015-1297,33.792023,-118.282671
9420-2015-1729,35.317349,-119.036142
9150-2015-0383,39.704932,-123.803951
9420-2015-1731,35.298698,-119.031261
9670-2015-1732,33.771638,-118.000383
9390-2015-1109,37.701564,-121.885446
9670-2015-1823,33.808542,-117.908203
9525-2015-1463,34.13451,-117.95826
9245-2015-0693,38.735718,-120.743791
9535-2015-1358,33.9718,-118.167847
9550-2015-1715,34.008643,-117.970046
9420-2015-1734,35.392332,-118.975657
9675-2015-1858,33.595704,-117.760761
9530-2015-1145,33.825852,-118.287355
9645-2015-1343,32.975034,-117.251242
9550-2015-1389,34.02909,-118.011122
9140-2015-0126,40.191257,-120.399406
9740-2015-0235,35.496024,-120.681563
9252-2015-3972,38.556787,-121.444825
9670-2015-0233,33.839504,-117.948516
9540-2015-1074,34.369111,-118.501338
9685-2015-0522,33.433547,-117.142611
9690-2015-1490,33.446811,-117.634058
9540-2015-1000,34.323121,-118.476848
9340-2015-4518,37.29595,-121.873524
9575-2015-1271,34.206945,-118.203467
9730-2015-0842,36.818364,-121.63281
9370-2015-1477,37.826641,-122.278198
9575-2015-1213,34.151816,-118.136561
9840-2015-1120,33.884618,-117.63101
9650-2015-0993,33.103649,-117.310728
9550-2015-1670,33.998153,-118.06809
9580-2015-1175,34.173285,-118.53681
9645-2015-1600,32.84365,-117.025649
9645-2015-1391,32.765937,-117.151563
9645-2015-1543,32.685202,-117.090095
9530-2015-1449,33.802979,-118.207365
9360-2015-1043,38.365124,-122.781166
9535-2015-1357,34.034866,-118.149325
9440-2015-1054,36.205115,-119.600476
9260-2015-3676,38.569867,-121.32837
9670-2015-1764,33.470826,-117.674391
9720-2015-0808,37.055841,-122.075074
9550-2015-1683,33.923237,-118.104321
9456-2015-0134,37.233667,-119.706492
9855-2015-1492,34.134675,-117.655651
9340-2015-4643,37.250663,-121.901155
9535-2015-1183,34.035711,-118.094834
9535-2015-1172,34.039457,-118.170011
9525-2015-1205,34.068613,-117.838643
9345-2015-1174,37.572443,-122.046134
9325-2015-0669,38.257361,-122.302846
9590-2015-0748,34.050586,-118.22292
9335-2015-1067,37.607029,-122.387235
9365-2015-0964,38.413779,-121.900652
9830-2015-0169,35.100911,-118.142783
9525-2015-1722,33.995537,-117.840825
9525-2015-1421,34.070587,-117.794675
9535-2015-1170,34.018621,-118.177737
9670-2015-1507,33.729196,-117.984306
9420-2015-1639,35.266462,-118.914389
9840-2015-1080,34.00434,-117.349989
9535-2015-1603,33.986064,-118.135693
9770-2015-0466,34.282808,-118.789474
9150-2015-0391,38.796569,-123.568968
9340-2015-4620,37.314792,-121.913082
9265-2015-3028,37.955945,-121.31742
